File,Species,Time
SwiftOne_20250309_180000(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_180000(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_180000(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_180000(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250309_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250313_180000(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250314_060000(-0300).BirdNET.selection.table.txt,Variable Antshrike,Unknown
SwiftOne_20250314_081501(-0300).BirdNET.selection.table.txt,Ceara Gnateater,Unknown
SwiftOne_20250314_081501(-0300).BirdNET.selection.table.txt,Ceara Gnateater,Unknown
SwiftOne_20250314_081501(-0300).BirdNET.selection.table.txt,Ceara Gnateater,Unknown
SwiftOne_20250314_081501(-0300).BirdNET.selection.table.txt,Ceara Gnateater,Unknown
SwiftOne_20250317_070001(-0300).BirdNET.selection.table.txt,Ceara Gnateater,Unknown
SwiftOne_20250317_180000(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250318_164500(-0300).BirdNET.selection.table.txt,Spot-winged Wood-Quail,Unknown
SwiftOne_20250318_171500(-0300).BirdNET.selection.table.txt,Variable Antshrike,Unknown
SwiftOne_20250318_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250319_180000(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250319_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250319_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250320_060000(-0300).BirdNET.selection.table.txt,Variable Antshrike,Unknown
SwiftOne_20250320_060000(-0300).BirdNET.selection.table.txt,Variable Antshrike,Unknown
SwiftOne_20250320_060000(-0300).BirdNET.selection.table.txt,Variable Antshrike,Unknown
SwiftOne_20250320_060000(-0300).BirdNET.selection.table.txt,Variable Antshrike,Unknown
